username,screen_name,acct_desc,tweet_text,location,following,followers,user_created,tweet_created,retweet_count,favourite_count,favourited,retweeted
Ruthie❣️❣️❣️,Ruthie_1107,IG: I_m_ruthie// olaniyan bose ruth july 11 chic, Very very stressful #FUOONLINEEXAM,None,156,61,2014-12-10,2020-10-09,0,0,False,False
Nureeyah,Nureeya00500881,"Muslimah ,", It was stressful #FUOONLINEEXAM,"Port Harcourt, Nigeria",53,10,2020-09-24,2020-10-09,0,0,False,False
A M I N A T,Meenart_,None, It went well #FUOONLINEEXAM,"Lagos, Nigeria",175,154,2019-06-02,2020-10-09,0,0,False,False
The targent,thorlahney,None, it was really stressful and frustrating aside network issue o🤦🤦#FUOONLINEEXAM,None,103,33,2019-07-06,2020-10-09,0,0,False,False
Abubakri🇳🇬🇳🇬Ireayo,King_rahno,Data scientist💻| pythonista |Young black Muslim👳🏾‍♀️| In 💙with @chelseafc | blogger| Not a feminist ❌ |, Stressful ASF #FUOONLINEEXAM,Somewhere in the space,581,717,2014-12-27,2020-10-09,0,0,False,False
Adesewa,Adesewa04,None, I think it was stressful not to talk of the data consumption #FUOONLINEEXAM,"Osogbo, Nigeria",7,5,2020-09-24,2020-10-09,0,0,False,False
Ennieeturnn,Ennieeturnn1,"Masseuse🌸, pedicurist🦶🏻& manicurist💅🏼, model, Beauty Queen 👸", It went well #FUOONLINEEXAM,Osun State,96,39,2020-02-03,2020-10-09,0,0,False,False
berryola,berryola2,None, In my opinion it was stressful #FUOONLINEEXAM,None,53,10,2020-06-08,2020-10-09,0,0,False,False
Abubakry Mohammed Teniola,tohaberry,"content creator 
Model, 
Actor 
Front-End Developer(js,css,html5)
i.g:@tohaberry","In your own opinion, how did the online examination turn out? 
Leave an answer and remember to use the hash tag #FUOONLINEEXAM",lagos,366,214,2011-07-29,2020-10-09,0,9,False,False
Matrickenzy,matrickenzy,None, It's okay #FUOPORTAL,None,14,1,2019-10-25,2020-10-15,0,0,False,False
Call me Fathia❤🌹😎,sparkleon24th,"♠️Muslimah🌙
♥️Allah first♥️
Not your regular kinda girl😘😉
Proudly Nigerian💕💕Ig:Fathiatayo.xo", The FUO portal is okay too except that they don't update results especially in my department #FUOPORTAL,"Lagos, Nigeria",449,337,2018-10-03,2020-10-13,0,0,False,False
Sir Boluwatife ⭕,iambammo,"A Proud Muslim,
Addicted to Arsenal FC 😍,
Burna Boy Freak 💯,
Political Scientist", Network issue #FUOPORTAL,"Osun, Nigeria",686,307,2015-02-14,2020-10-12,0,0,False,False
Oyindamola,Ohyindarh,None, It takes time to load #FUOPORTAL,"Lagos, Nigeria",62,3,2016-07-15,2020-10-12,0,0,False,False
Abubakri🇳🇬🇳🇬Ireayo,King_rahno,Data scientist💻| pythonista |Young black Muslim👳🏾‍♀️| In 💙with @chelseafc | blogger| Not a feminist ❌ |, Network/connection glitch #Fuoportal,Somewhere in the space,581,717,2014-12-27,2020-10-12,0,0,False,False
Atoba Mubaraq,AtobaMubaraq,An easy going person and a dog lover, The portal is actually okay #FUOPORTAL,None,92,6,2020-01-08,2020-10-12,0,0,False,False
Enny,enny__tan,Music & Vacations, Bad network #FUOPORTAL,"Lagos, Nigeria",1055,1145,2018-01-09,2020-10-12,0,0,False,False
ROADMAN,jerziieSZN,Youngin' with an Addiction. 😎 Football & Music ⚡. |Content Creator and all round Social Entrepreneur|, None. #FUOPORTAL,"in d Future already, bruh....",1068,657,2019-10-20,2020-10-12,0,0,False,False
Haauwaarh🌹,Haauwaarh_,None, It’s okay for me #FUOPORTAL,None,145,88,2017-10-25,2020-10-12,0,0,False,False
Adetayo Balogun,AdetayoBalogun4,None, Poor network #FUOPORTAL,None,53,5,2020-09-14,2020-10-12,0,0,False,False
emmanuel adeleke,eadeleke2000,"Bio loading...
Follow up. Let get to know one another. I assure, you won't regret it."," Network problem most time.
#FUOPORTAL","1294 Herkimer street, Brooklyn",294,32,2015-05-08,2020-10-12,0,0,False,False
_the.maryam,themaryam13,"Just for the fun of it 🍻
IG: _the.maryam", Connection problem #FUOPORTAL,None,86,58,2020-09-07,2020-10-12,0,0,False,False
Adesola🥰,__Aaisha_,IG:IG:_tz_tania & voguesbyeeshah, Takes time to load #FUOPORTAL,"Lagos, Nigeria",87,66,2019-07-29,2020-10-12,0,0,False,False
Maryam,_maryambash,Youtuber✨, Connection problem #FUOPORTAL,Nigeria,45,14,2019-11-08,2020-10-12,0,0,False,False
🚀Mide🚀,Mide34777787,None, It takes time to load #FUOPORTAL,Nigeria,117,39,2018-10-02,2020-10-12,0,1,False,False
Yusbakly,yusbakly,Blogger..., #FUOPORTAL network problem,"Abeokuta, Nigeria",1200,115,2018-10-07,2020-10-12,0,1,False,False
Ligali#mali#,ligali_maryam,Simple girl /withprinciples/, It was okay #FUOPORTAL,"Lagos, Nigeria",343,245,2019-03-18,2020-10-12,0,0,False,False
Nifty😉😉,Omowonu40616764,Never judge a book by its cover, It takes time to load #FUOPORTAL,"Oyo, Nigeria",69,5,2020-05-03,2020-10-12,0,1,False,False
Abdulqadr Ibrahim,abdulqadr31,None, It it okay #FUOPORTAL,None,210,106,2016-01-29,2020-10-11,0,1,False,False
Shadow_Walker,raji_bayonle,None, Waiting time is too long #FUOPORTAL,"Ibadan, Nigeria",53,23,2016-10-21,2020-10-11,0,0,False,False
Boujee Pheedheart,AdesanyaNafisa1,"Cryptotrader
Tairus
Boujee Bad and Thick"," Apart from it taking time to load a page, It's almost highly efficient
#FUOPORTAL",Nigeria,73,18,2020-10-11,2020-10-11,0,0,False,False
Made In Lagos #MIL,certifiedawwal,Eyan Wizzy FR🥇,"#FUOPORTAL my password only works whenever it feels like.

Crap. 😩",None,268,139,2019-09-28,2020-10-10,0,0,False,False
Rafeeharh😍😍,Ardeekayla,"🇳🇬 Beauty |Muslim|Food lover|Cake lover| Always remember to smile 😊😊
I.G:@_feeharh", It takes time to load #FUOPORTAL,Earth,433,369,2016-12-09,2020-10-10,0,1,False,False
ذكرةالله ❤,adhikrah,"D.H.I.K.R.A.H.❤
.
.
Novel lover 📚
.
.
Muslimah🌼🌼
.
.
Accountant 📖
.
.
Capricorn♑", It's good for me. #FUOPORTAL,Earth,254,261,2016-07-03,2020-10-10,0,1,False,False
thatligthskinnedguy,KelixIts,"i sleep wake up eat, bath at times 
watch anime play game.
🔃", Its a very smooth portal to deal with #FUOPORTAL,None,226,51,2019-05-04,2020-10-10,0,1,False,False
Taheersm,taheertaheersm,Creative. IG - https://t.co/OJYSaKCE5g, Poor Network #FUOPORTAL,None,175,134,2019-07-08,2020-10-10,0,0,False,False
fai_zah,phahee_zhar,"¶My bio doesn't define who i am in real life just stick to the twitter me¶ i follow back¶¶.
IG: threexixty", Loading takes minutes and network issues #FUOPORTAL,"Lagos, Nigeria",386,167,2019-07-27,2020-10-10,0,1,False,False
senior,senior99782557,None, Network  #FUOPORTAL,None,87,6,2020-09-13,2020-10-10,0,0,False,False
reemah,r73793908,None, Network #FUOPORTAL,None,28,0,2018-05-06,2020-10-10,0,2,False,False
The Millienial Muslimah,zahynarbb,Blogger || Lifestyle  || Self Help || Books Emotional Wellness, Traffic and poor network #FUOPORTAL,"Lagos, Nigeria",241,210,2018-03-31,2020-10-10,0,0,False,False
Callmemoji,zeethemama,"Just a girl , iCons forever till eternity, TeamLaycon", Network problem #FUOPORTAL,"Abeokuta, Nigeria",99,108,2019-02-28,2020-10-10,0,0,False,False
A M I N A T,Meenart_,None, Takes time to load #FUOPORTAL,"Lagos, Nigeria",175,154,2019-06-02,2020-10-09,0,0,False,False
Ruthie❣️❣️❣️,Ruthie_1107,IG: I_m_ruthie// olaniyan bose ruth july 11 chic, Network is not good #FUOPORTAL,None,156,61,2014-12-10,2020-10-09,0,0,False,False
Nureeyah,Nureeya00500881,"Muslimah ,", Network problem #FUOPORTAL,"Port Harcourt, Nigeria",53,10,2020-09-24,2020-10-09,0,0,False,False
The targent,thorlahney,None, Network issues #FUOPORTAL,None,103,33,2019-07-06,2020-10-09,0,0,False,False
Adesewa,Adesewa04,None, Poor network #FUOPORTAL,"Osogbo, Nigeria",7,5,2020-09-24,2020-10-09,0,0,False,False
Ennieeturnn,Ennieeturnn1,"Masseuse🌸, pedicurist🦶🏻& manicurist💅🏼, model, Beauty Queen 👸", Network issues #FUOPORTAL,Osun State,96,39,2020-02-03,2020-10-09,0,0,False,False
berryola,berryola2,None, Traffic and load late #FUOPORTAL,None,53,10,2020-06-08,2020-10-09,0,0,False,False
Abubakry Mohammed Teniola,tohaberry,"content creator 
Model, 
Actor 
Front-End Developer(js,css,html5)
i.g:@tohaberry","What challenges do you face when using FUO portal?
Leave an answer and remember to use the hash tag #FUOPORTAL",lagos,366,213,2011-07-29,2020-10-09,0,9,False,False
